,PREDDEG,CONTROL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_MEN
0,3.0,1.0,5098.0,0.0184,0.8978,0.0114,0.0014,0.0027,0.001,0.0108,0.0086,0.0479,0.406
1,3.0,1.0,13284.0,0.5297,0.2458,0.0669,0.0767,0.0021,0.0004,0.0483,0.0233,0.0068,0.379
2,3.0,2.0,251.0,0.247,0.6932,0.0438,0.0,0.0,0.004,0.0,0.0,0.012,0.3147
3,3.0,1.0,7358.0,0.7196,0.0871,0.061,0.0357,0.008,0.0012,0.0446,0.0166,0.0261,0.5953
4,3.0,1.0,3495.0,0.0152,0.9259,0.0129,0.002,0.0017,0.0014,0.0132,0.0166,0.0112,0.3505
5,3.0,1.0,30725.0,0.7676,0.105,0.0549,0.0137,0.0037,0.0008,0.0356,0.0127,0.006,0.4385
6,2.0,1.0,940.0,0.7245,0.1947,0.0287,0.0021,0.0021,0.0,0.034,0.0064,0.0074,0.3915
7,3.0,1.0,2511.0,0.7634,0.1243,0.0426,0.0056,0.0131,0.0004,0.0307,0.0008,0.0191,0.2951
8,3.0,1.0,3742.0,0.4129,0.4487,0.0131,0.0283,0.004,0.0011,0.0371,0.0484,0.0064,0.3314
9,3.0,1.0,24782.0,0.8181,0.0461,0.0382,0.0238,0.0027,0.0005,0.0281,0.0396,0.0028,0.5047
10,3.0,2.0,1048.0,0.729,0.1603,0.0573,0.0258,0.0038,0.0,0.0095,0.0143,0.0,0.4895
11,1.0,1.0,1107.0,0.3406,0.4833,0.0641,0.0063,0.0018,0.0027,0.0614,0.0036,0.0361,0.3406
12,3.0,3.0,337.0,0.2582,0.6884,0.0237,0.0059,0.0,0.003,0.003,0.003,0.0148,0.1543
13,2.0,1.0,1336.0,0.6198,0.1991,0.0584,0.0075,0.0075,0.0015,0.0539,0.0067,0.0457,0.5277
14,2.0,1.0,5217.0,0.6396,0.2375,0.0339,0.0073,0.0155,0.0004,0.0447,0.0046,0.0165,0.3592
15,3.0,2.0,1696.0,0.4599,0.4133,0.0318,0.0118,0.0018,0.0029,0.0265,0.0313,0.0206,0.4287
16,2.0,1.0,3513.0,0.6812,0.2024,0.0603,0.0043,0.0026,0.0014,0.0333,0.008,0.0065,0.3746
17,1.0,3.0,57.0,0.8421,0.0,0.1579,0.0,0.0,0.0,0.0,0.0,0.0,0.0351
18,1.0,1.0,3191.0,0.5544,0.3231,0.0533,0.0081,0.0025,0.0006,0.0382,0.0019,0.0179,0.2977
19,1.0,1.0,4303.0,0.798,0.0734,0.0785,0.0072,0.006,0.0005,0.0265,0.0063,0.0035,0.3233
